beta,loss
0.5,3526.22472472308
0.6,3526.2247247230807
0.7,3526.22472472308
0.7999999999999999,3526.22472472308
0.8999999999999999,3526.22472472308
0.9999999999999999,3526.22472472308
1.0999999999999999,3526.22472472308
1.1999999999999997,3526.22472472308
1.2999999999999998,3526.22472472308
1.4,3526.22472472308
1.4999999999999998,3526.22472472308
1.5999999999999996,3526.22472472308
1.6999999999999997,3526.22472472308
1.7999999999999998,3526.22472472308
1.8999999999999997,3526.22472472308
1.9999999999999996,3526.22472472308
2.0999999999999996,3526.22472472308
2.1999999999999997,3526.22472472308
2.3,3526.22472472308
2.3999999999999995,3526.22472472308
2.4999999999999996,3526.22472472308
2.5999999999999996,3526.2247247230803
2.6999999999999993,3526.22472472308
2.7999999999999994,3526.22472472308
2.8999999999999995,3526.22472472308
2.9999999999999996,3526.22472472308
3.0999999999999996,3526.22472472308
3.1999999999999993,3526.22472472308
3.2999999999999994,3526.22472472308
3.3999999999999995,3526.22472472308
3.499999999999999,3526.22472472308
3.599999999999999,3526.22472472308
3.6999999999999993,3526.22472472308
3.7999999999999994,3526.22472472308
3.8999999999999995,3526.22472472308
3.999999999999999,3526.22472472308
4.1,3526.22472472308
4.199999999999999,3526.22472472308
4.299999999999999,3526.2247247230803
4.399999999999999,3526.22472472308
4.499999999999999,3526.22472472308
4.599999999999999,3526.22472472308
4.699999999999999,3526.22472472308
4.799999999999999,3526.22472472308
4.899999999999999,3526.22472472308
4.999999999999999,3526.22472472308
5.099999999999999,3526.22472472308
5.199999999999999,3526.22472472308
5.299999999999999,3526.22472472308
5.399999999999999,3526.22472472308
5.499999999999999,3526.22472472308
5.599999999999999,3526.22472472308
5.699999999999999,3526.22472472308
5.799999999999999,3526.22472472308
5.899999999999999,3526.22472472308
5.999999999999999,3526.22472472308
6.099999999999999,3526.22472472308
6.199999999999998,3526.22472472308
6.299999999999999,3526.22472472308
6.399999999999999,3526.22472472308
6.499999999999998,3526.22472472308
6.599999999999999,3526.22472472308
6.699999999999998,3526.22472472308
6.799999999999999,3526.22472472308
6.899999999999999,3526.22472472308
6.999999999999998,3526.22472472308
7.099999999999999,3526.22472472308
7.199999999999998,3526.22472472308
7.299999999999999,3526.22472472308
7.399999999999999,3526.2247247230803
7.499999999999998,3526.22472472308
7.599999999999999,3526.22472472308
7.699999999999998,3526.22472472308
7.799999999999998,3526.22472472308
7.899999999999999,3526.22472472308
7.999999999999998,3526.22472472308
8.099999999999998,3526.22472472308
8.2,3526.22472472308
8.299999999999997,3526.22472472308
8.399999999999999,3526.22472472308
8.499999999999998,3526.22472472308
8.599999999999998,3526.22472472308
8.699999999999998,3526.22472472308
8.799999999999999,3526.22472472308
8.899999999999999,3526.22472472308
8.999999999999998,3526.22472472308
9.099999999999998,3526.22472472308
9.199999999999998,3526.22472472308
9.299999999999997,3526.22472472308
9.399999999999999,3526.2247247230803
9.499999999999998,3526.2247247230807
9.599999999999998,3526.22472472308
9.699999999999998,3526.22472472308
9.799999999999997,3526.22472472308
9.899999999999999,3526.22472472308
9.999999999999998,3526.22472472308
10.099999999999998,3526.2247247230803
10.199999999999998,3526.22472472308
10.299999999999997,3526.22472472308
10.399999999999999,3526.22472472308
10.499999999999998,3526.22472472308
10.599999999999998,3526.22472472308
10.699999999999998,3526.22472472308
10.799999999999997,3526.22472472308
10.899999999999999,3526.22472472308
10.999999999999998,3526.22472472308
11.099999999999998,3526.22472472308
11.199999999999998,3526.22472472308
