beta,cv_mae_ord,cv_acc,order_invariant
0.01,0.8519795157135348,0.3762588045537618,True
0.015848931924611134,0.8519795157135348,0.3762588045537618,True
0.025118864315095794,0.8519795157135348,0.3762588045537618,True
0.039810717055349734,0.8519795157135348,0.3762588045537618,True
0.06309573444801933,0.8519795157135348,0.3762588045537618,True
0.1,0.8519795157135348,0.3762588045537618,True
0.15848931924611143,0.8519795157135348,0.3762588045537618,True
0.25118864315095807,0.8519795157135348,0.3762588045537618,True
0.3981071705534973,0.8519795157135348,0.3762588045537618,True
0.6309573444801934,0.8519795157135348,0.3762588045537618,True
1.0,0.8519795157135348,0.3762588045537618,True
1.584893192461114,0.8519795157135348,0.3762588045537618,True
2.5118864315095824,0.8519795157135348,0.3762588045537618,True
3.981071705534973,0.8519795157135348,0.3762588045537618,True
6.309573444801936,0.8519795157135348,0.3762588045537618,True
10.0,0.8519795157135348,0.3762588045537618,True
15.848931924611142,0.8519795157135348,0.3762588045537618,True
25.11886431509582,0.8519795157135348,0.3762588045537618,True
39.810717055349734,0.8519795157135348,0.3762588045537618,True
63.095734448019364,0.8519795157135348,0.3762588045537618,True
100.0,0.8519795157135348,0.3762588045537618,True
158.48931924611142,0.8519795157135348,0.3762588045537618,True
251.18864315095823,0.8519795157135348,0.3762588045537618,True
398.1071705534977,0.8519795157135348,0.3762588045537618,True
630.9573444801943,0.8519795157135348,0.3762588045537618,True
1000.0,0.8519795157135348,0.3762588045537618,True
1584.893192461114,0.8519795157135348,0.3762588045537618,True
2511.886431509582,0.8519795157135348,0.3762588045537618,True
3981.0717055349774,0.8519795157135348,0.3762588045537618,True
6309.573444801943,0.8519795157135348,0.3762588045537618,True
10000.0,0.8519795157135348,0.3762588045537618,True
