threshold_idx,threshold_z,level_lower,level_upper
0,0.03365580566580784,137.6,206.5
1,0.15033496171537747,206.5,275.3
2,0.37762435051436893,275.3,309.7
3,0.9485494822646622,309.7,344.1
4,1.8926050358459174,344.1,412.9
5,2.123537776923951,412.9,458.8
6,15.924286822139901,458.8,516.2
7,42.370149007091555,516.2,573.5
8,1064.2900239195237,573.5,619.4
