feature,theta,kernel,kernel_label,param,param_value,n_params,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,1.0,K3_eesm,EESM指数核,beta_EESM,39.81071705534969,1,off,0.3699258416086105,0.010434546161218044,0.8619453925120357,0.018309776168785857,0.8053421112801342,0.006954850469052003,58.47514774281372,0.6450093990140662
eig,1.0,K3_eesm,EESM指数核,beta_EESM,79.43282347242814,1,off,0.36972945029596704,0.01025856229766882,0.8620926679170431,0.018200136463979034,0.8051457199674907,0.006737639352353008,58.46339252779349,0.6451511811486942
eig,1.0,K3_eesm,EESM指数核,beta_EESM,158.48931924611142,1,off,0.3698276338993053,0.009973928988528767,0.8617981171070284,0.017957113482308096,0.805243903570829,0.006764898834494211,58.437896581422265,0.6454598682631969
eig,1.0,K3_eesm,EESM指数核,beta_EESM,316.22776601683796,1,off,0.3700240372649322,0.01029252208951993,0.8613071629313869,0.01806034256761567,0.8052438915178455,0.006650227248358988,58.39786350230992,0.6459510632379387
eig,1.0,K3_eesm,EESM指数核,beta_EESM,630.957344480193,1,off,0.36972941413701665,0.009732683478588447,0.8619945325256388,0.017505673997406546,0.804851145051509,0.006670631122544997,58.42776313836832,0.6455914811621403
eig,1.0,K3_eesm,EESM指数核,beta_EESM,1258.9254117941662,1,off,0.3701221485503696,0.009414719719987648,0.8618472571206315,0.017460112850681626,0.8049002368531781,0.006629746339931937,58.45239736700368,0.6452854859477211
eig,1.0,K3_eesm,EESM指数核,beta_EESM,2511.886431509577,1,off,0.3701221485503696,0.009414719719987648,0.861650889913955,0.01740693404530579,0.8050475122581855,0.00660262599603199,58.43571233448297,0.6454866371581388
eig,1.0,K3_eesm,EESM指数核,beta_EESM,5011.872336272725,1,off,0.3701221485503696,0.009414719719987648,0.861650889913955,0.01740693404530579,0.8050475122581855,0.00660262599603199,58.43571233448297,0.6454866371581388
eig,1.0,K3_eesm,EESM指数核,beta_EESM,10000.0,1,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
eig,1.0,K4_pow,幂函数核,q,-2.0,1,off,0.36899291658214517,0.009512428988670232,0.8652839122441559,0.016807126206568577,0.8026419175525309,0.007651190039326342,58.60632870394552,0.6434211087264737
eig,1.0,K4_pow,幂函数核,q,-1.0,1,off,0.36948387075778677,0.009616289916760836,0.8647438421608781,0.017143758724260855,0.8027400891028856,0.007480525795164508,58.591935707731224,0.6435934068862655
eig,1.0,K4_pow,幂函数核,q,-0.5,1,off,0.36845296702870217,0.009782802902388702,0.8637619579155619,0.017432413341422273,0.8047038334875513,0.006258690753788778,58.47077460680932,0.6450620669550785
eig,1.0,K4_pow,幂函数核,q,1.0,1,off,0.3700730567487005,0.009420193128561986,0.8616999817156241,0.017415262831019605,0.8050475122581855,0.00660262599603199,58.43660114109241,0.6454759017215432
