feature,kernel,param,inner_oof_mae
lam1,K3_eesm,0.01,0.765710067946729
lam1,K3_eesm,0.0199526231496888,0.7656487024414698
lam1,K3_eesm,0.039810717055349734,0.7650718639806116
lam1,K3_eesm,0.07943282347242814,0.7587387052327281
lam1,K3_eesm,0.15848931924611134,0.7564312790847083
lam1,K3_eesm,0.31622776601683794,0.7559035188684091
lam1,K3_eesm,0.630957344480193,0.7556334891045272
lam1,K3_eesm,1.2589254117941675,0.7553143871214685
lam1,K3_eesm,2.5118864315095797,0.7553021164305697
lam1,K3_eesm,5.01187233627272,0.7554862174653838
lam1,K3_eesm,10.0,0.7560262483725819
lam1,K3_eesm,19.952623149688787,0.7559280602502071
lam1,K3_eesm,39.81071705534969,0.7561858065192527
lam1,K3_eesm,79.43282347242814,0.7562103546796056
lam1,K3_eesm,158.48931924611142,0.75622262687685
lam1,K3_eesm,316.22776601683796,0.7562962690983903
lam1,K3_eesm,630.957344480193,0.7562962690983903
lam1,K3_eesm,1258.9254117941662,0.7563208165055705
lam1,K3_eesm,2511.886431509577,0.7563208165055705
lam1,K3_eesm,5011.872336272725,0.7563208165055705
lam1,K3_eesm,10000.0,0.7563330894559878
lam1,K4_pow,-2.0,0.7575604342071192
lam1,K4_pow,-1.0,0.7569713114982519
lam1,K4_pow,-0.5,0.7569222196965828
lam1,K4_pow,1.0,0.7563330894559878
lam1,K4_pow,2.0,0.7565049145276936
lam1,K5_plus,0.01,0.757462250603781
lam1,K5_plus,0.0199526231496888,0.7571308606068493
lam1,K5_plus,0.039810717055349734,0.7575849853801632
lam1,K5_plus,0.07943282347242814,0.7589964499954283
lam1,K5_plus,0.15848931924611134,0.7594137536579718
lam1,K5_plus,0.31622776601683794,0.7596224020999661
lam1,K5_plus,0.630957344480193,0.7582600413371348
lam1,K5_plus,1.2589254117941675,0.7562717141594826
lam1,K5_plus,2.5118864315095797,0.7556948591288231
lam1,K5_plus,5.01187233627272,0.7556825914506153
lam1,K5_plus,10.0,0.7555721364032053
lam1,K5_plus,19.952623149688787,0.7564558272450611
lam1,K5_plus,39.81071705534969,0.7566031079222779
lam1,K5_plus,79.43282347242814,0.7563944609866292
lam1,K5_plus,158.48931924611142,0.7563208157523977
lam1,K5_plus,316.22776601683796,0.7562962690983904
lam1,K5_plus,630.957344480193,0.7563330902091606
lam1,K5_plus,1258.9254117941662,0.7563330902091606
lam1,K5_plus,2511.886431509577,0.7563330894559878
lam1,K5_plus,5011.872336272725,0.7563330894559878
lam1,K5_plus,10000.0,0.7563330894559878
lam2,K3_eesm,0.01,0.8563748784944016
lam2,K3_eesm,0.0199526231496888,0.8472433311446131
lam2,K3_eesm,0.039810717055349734,0.8311527128605608
lam2,K3_eesm,0.07943282347242814,0.8001619472107224
lam2,K3_eesm,0.15848931924611134,0.7797633621512301
lam2,K3_eesm,0.31622776601683794,0.7527983757979678
lam2,K3_eesm,0.630957344480193,0.7435686373131133
lam2,K3_eesm,1.2589254117941675,0.7478643484611098
lam2,K3_eesm,2.5118864315095797,0.7465019876982784
lam2,K3_eesm,5.01187233627272,0.7439859213931648
lam2,K3_eesm,10.0,0.744231395464966
lam2,K3_eesm,19.952623149688787,0.7475206968113526
lam2,K3_eesm,39.81071705534969,0.7474716223326575
lam2,K3_eesm,79.43282347242814,0.748097575943541
