feature,kernel,outer_fold,s_f,fold_mae_ord
geo,K3_eesm,0,1.6318798621839675e-09,0.7304860088365243
geo,K3_eesm,1,1.6419413494683924e-09,0.7029945999018163
geo,K3_eesm,2,1.6565318828833357e-09,0.7218949435444281
geo,K3_eesm,3,1.6286927980584081e-09,0.6995581737849779
geo,K3_eesm,4,1.6568565806556867e-09,0.6881905229560521
geo,K4_pow,0,1.6318798621839675e-09,0.7319587628865979
geo,K4_pow,1,1.6419413494683924e-09,0.7086401570937654
geo,K4_pow,2,1.6565318828833357e-09,0.7280314187530682
geo,K4_pow,3,1.6286927980584081e-09,0.7081492390770742
geo,K4_pow,4,1.6568565806556867e-09,0.6918733120549964
geo,K5_plus,0,1.6318798621839675e-09,0.7334315169366715
geo,K5_plus,1,1.6419413494683924e-09,0.7086401570937654
geo,K5_plus,2,1.6565318828833357e-09,0.7268041237113402
geo,K5_plus,3,1.6286927980584081e-09,0.7079037800687286
geo,K5_plus,4,1.6568565806556867e-09,0.6928553891480481
fro,K1_lin,0,5.047658755841554e-09,0.7803141875306824
fro,K1_lin,1,5.047658755841554e-09,0.7616593028964163
fro,K1_lin,2,5.047658755841554e-09,0.7795778105056456
fro,K1_lin,3,5.047658755841554e-09,0.7626411389297987
fro,K1_lin,4,5.047658755841554e-09,0.7463785907193715
fro,K2_cap,0,5.047658755841554e-09,0.7785959744722631
fro,K2_cap,1,5.047658755841554e-09,0.7677957781050565
fro,K2_cap,2,5.047658755841554e-09,0.7869415807560137
fro,K2_cap,3,5.047658755841554e-09,0.771232204221895
fro,K2_cap,4,5.047658755841554e-09,0.7557083231033637
fro,K3_eesm,0,5.047658755841554e-09,0.7773686794305351
fro,K3_eesm,1,5.047658755841554e-09,0.7636229749631811
fro,K3_eesm,2,5.047658755841554e-09,0.7790868924889544
fro,K3_eesm,3,5.047658755841554e-09,0.7601865488463426
fro,K3_eesm,4,5.047658755841554e-09,0.7449054750797938
fro,K4_pow,0,5.047658755841554e-09,0.7795778105056456
fro,K4_pow,1,5.047658755841554e-09,0.7628865979381443
fro,K4_pow,2,5.047658755841554e-09,0.7795778105056456
fro,K4_pow,3,5.047658755841554e-09,0.7643593519882179
fro,K4_pow,4,5.047658755841554e-09,0.7515344954578934
fro,K5_plus,0,5.047658755841554e-09,0.7776141384388807
fro,K5_plus,1,5.047658755841554e-09,0.7633775159548355
fro,K5_plus,2,5.047658755841554e-09,0.7800687285223368
fro,K5_plus,3,5.047658755841554e-09,0.7631320569464899
fro,K5_plus,4,5.047658755841554e-09,0.743432359440216
