scheme,mae_ord,acc,acc1,scope
N0,0.756050861603417,0.4214247140262163,0.840836565368943,stratified-5fold-OOF
N05,0.7889930777161372,0.4063527910059404,0.8279738818793264,stratified-5fold-OOF
N1,0.8617016053807256,0.3700721684913349,0.8050468849722617,stratified-5fold-OOF
NC,0.756050861603417,0.4214247140262163,0.840836565368943,stratified-5fold-OOF
NS_shuffled,0.8363689920958319,0.38998641726807076,0.8075474168262227,mean of 30 seeds
N0,0.9158525209877756,0.3472924542196475,0.7736756836368992,grouped-by-terminal-CV
N1,0.9138396583042859,0.3555402818007757,0.776277676861898,grouped-by-terminal-CV
