step,feature,theta,kernel,param,param_value,weights,acc,mae_ord,mae_ord_std,acc1
P1口径: gamma_F + 算术平均,gamF,1.0,K1_lin,,,off,0.3762588045537618,0.8519795157135348,0.014778268953687487,0.8077477059857887
gamma_F + 五核寻优（聚合层）,gamF,1.0,K3_eesm,beta_EESM,1.2589254117941675,off,0.3786645077362677,0.846480896443056,0.01571133804259817,0.809956933484767
lambda1/sigma^2 + 五核（特征层）,eig,1.0,K5_plus,beta_plus,0.01,off,0.37375512266863664,0.8528630355607607,0.016922547427103383,0.8093186315862173
lambda1/sigma + 五核（半归一化）,eig,0.5,K4_pow,q,2.0,off,0.40738442906403405,0.7878627300176299,0.013811751042843365,0.8283179663820596
lambda1 + 五核（增益功率口径）,eig,0.0,K3_eesm,beta_EESM,5011.872336272725,off,0.42152355496479865,0.7559516366806517,0.013231291493467112,0.8408369061389582
