feature,theta,kernel,kernel_label,param,param_value,weights,acc,acc_std,mae_ord,mae_ord_std,acc1,acc1_std,rmse,r2
eig,0.0,K1_lin,线性核,,,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K2_cap,香农容量核,,,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K3_eesm,EESM指数核,beta_EESM,5011.872336272725,off,0.42152355496479865,0.009178813050416429,0.7559516366806517,0.013231291493467112,0.8408369061389582,0.00459549130332164,53.48813116660689,0.7030300665099591
eig,0.0,K4_pow,幂函数核,q,1.0,off,0.4214253713614604,0.00921834053035434,0.7560498202839899,0.013267766682343148,0.8408369061389582,0.00459549130332164,53.49246496920183,0.7029818412628701
eig,0.0,K5_plus,正指数核,beta_plus,10000.0,off,0.42147446316312953,0.009137612557892484,0.7559516125746848,0.013433361754810781,0.8409351138482632,0.004745573424360831,53.49334165236403,0.7029696486192174
gamF,1.0,K3_eesm,EESM指数核,beta_EESM,1.2589254117941675,off,0.3786645077362677,0.009105891025245515,0.846480896443056,0.01571133804259817,0.809956933484767,0.006503801020145827,58.02403214068644,0.650500829886103
