seed,mae_ord,acc,acc1
1000,0.8377927242378124,0.3901026069026462,0.805636015513771
1001,0.8401001521920566,0.38808974421915654,0.8065197113260346
1002,0.8359271441897,0.3912317737738721,0.8050468849722617
1003,0.83249054936423,0.39241003485689036,0.8086798566449016
1004,0.8371054052727184,0.39152633904462664,0.8055869213019785
1005,0.835583484707153,0.3891207226667976,0.8091217045510334
1006,0.8367126515783789,0.39074083165594775,0.8067651823849968
1007,0.831803230399136,0.3909372085031175,0.8107418135401836
1008,0.8374490647552654,0.38784427316019443,0.8096126466689577
1009,0.832146889881683,0.39108449113849475,0.808728950856694
1010,0.8412784132750749,0.3854877509941578,0.8068633708085816
1011,0.8313122882812116,0.3906917374441553,0.8102017772104669
1012,0.8376945358142275,0.387107859983308,0.8077961608326378
1013,0.842554862781678,0.38460405518189406,0.8058814865727331
1014,0.8333251509647013,0.3945701801757573,0.8056851097255634
1015,0.8307231577397025,0.3906917374441553,0.8126564878000884
1016,0.8399037753448868,0.38671510628896855,0.807354312926506
1017,0.8352889194363985,0.38656782365359127,0.8110363788109382
1018,0.8395110216505474,0.39241003485689036,0.80278855122981
1019,0.836958122637341,0.39186999852717364,0.8038686238892434
1020,0.8344543178359272,0.39442289754038,0.8066178997496195
1021,0.8390691737444156,0.3887770631842506,0.8053905444548087
1022,0.8356325789189455,0.3904462663851932,0.8075015955618833
1023,0.8319505130345133,0.3913299621974569,0.8100544945750896
1024,0.8378418184496048,0.3909863027149099,0.8058323923609406
1025,0.8382836663557367,0.3860277873238745,0.8071088418675438
1026,0.8370563110609259,0.3903480779616083,0.8062251460552801
1027,0.8335706220236634,0.3870096715597231,0.8127546762236733
1028,0.8360253326132849,0.395797535470568,0.8046541312779223
1029,0.8346506946830968,0.3906426432323629,0.8097108350925426
